threshold,tp,fp,tn,fn,accuracy,macro_f1,weighted_f1,fpr,fnr,mcc,model,window,threshold_q,persistence,threshold_resolved,fa_per_hour,dns_delay_s,dns_detected,gtpu_delay_s,gtpu_detected,dns_sustained,gtpu_sustained
0.5,344,1,132123,4552,0.9667712742665304,0.5571671754137807,0.9526255586830242,7.5686476340407495e-06,0.9297385620915033,0.2602122395860528,lstm,3,default,3,0.5,0.0,51.92,True,,False,0.24588992137240887,0.0
0.5,344,1,132123,4552,0.9667712742665304,0.5571671754137807,0.9526255586830242,7.5686476340407495e-06,0.9297385620915033,0.2602122395860528,lstm,3,default,5,0.5,0.0,103.2,True,,False,0.24588992137240887,0.0
5.813867574033793e-06,1923,19563,112557,2973,0.8355228586442459,0.5273909100789633,0.8817284466795517,0.14806993642143507,0.6072303921568627,0.12491459979382011,lstm,5,0.9,1,5.813867574033793e-06,3.594185688991614,10.884,True,1214.727,True,0.9985704074338814,0.1504146411209608
5.813867574033793e-06,1923,19563,112557,2973,0.8355228586442459,0.5273909100789633,0.8817284466795517,0.14806993642143507,0.6072303921568627,0.12491459979382011,lstm,5,0.9,2,5.813867574033793e-06,2.518050445827458,16.022,True,1219.83,True,0.9985704074338814,0.1504146411209608
5.813867574033793e-06,1923,19563,112557,2973,0.8355228586442459,0.5273909100789633,0.8817284466795517,0.14806993642143507,0.6072303921568627,0.12491459979382011,lstm,5,0.9,3,5.813867574033793e-06,2.078054262661818,21.162,True,1224.945,True,0.9985704074338814,0.1504146411209608
5.813867574033793e-06,1923,19563,112557,2973,0.8355228586442459,0.5273909100789633,0.8817284466795517,0.14806993642143507,0.6072303921568627,0.12491459979382011,lstm,5,0.9,5,5.813867574033793e-06,1.5214325851631167,31.439,True,1235.188,True,0.9985704074338814,0.1504146411209608
6.508263140858617e-06,1813,18647,113473,3083,0.8414053833128977,0.5278104245669543,0.8851165774551318,0.14113684529215864,0.6296977124183006,0.11935317664247101,lstm,5,0.95,1,6.508263140858617e-06,3.705510024491354,10.884,True,46.182,True,0.9985704074338814,0.11895910780669144
6.508263140858617e-06,1813,18647,113473,3083,0.8414053833128977,0.5278104245669543,0.8851165774551318,0.14113684529215864,0.6296977124183006,0.11935317664247101,lstm,5,0.95,2,6.508263140858617e-06,2.5975678283272727,16.022,True,51.313,True,0.9985704074338814,0.11895910780669144
6.508263140858617e-06,1813,18647,113473,3083,0.8414053833128977,0.5278104245669543,0.8851165774551318,0.14113684529215864,0.6296977124183006,0.11935317664247101,lstm,5,0.95,3,6.508263140858617e-06,2.104560056828423,21.162,True,56.454,True,0.9985704074338814,0.11895910780669144
6.508263140858617e-06,1813,18647,113473,3083,0.8414053833128977,0.5278104245669543,0.8851165774551318,0.14113684529215864,0.6296977124183006,0.11935317664247101,lstm,5,0.95,5,6.508263140858617e-06,1.5373360616630798,31.439,True,66.699,True,0.9985704074338814,0.11895910780669144
2.5220402676495723e-05,1395,90,132030,3501,0.9737913820283762,0.7119094087531908,0.966953402843306,0.0006811989100817438,0.7150735294117647,0.5095838879131241,lstm,5,0.99,1,2.5220402676495723e-05,0.22264867099948052,16.022,True,,False,0.9971408148677627,0.0
2.5220402676495723e-05,1395,90,132030,3501,0.9737913820283762,0.7119094087531908,0.966953402843306,0.0006811989100817438,0.7150735294117647,0.5095838879131241,lstm,5,0.99,2,2.5220402676495723e-05,0.09542085899977737,21.162,True,,False,0.9971408148677627,0.0
2.5220402676495723e-05,1395,90,132030,3501,0.9737913820283762,0.7119094087531908,0.966953402843306,0.0006811989100817438,0.7150735294117647,0.5095838879131241,lstm,5,0.99,3,2.5220402676495723e-05,0.058312747166530614,26.295,True,,False,0.9971408148677627,0.0
2.5220402676495723e-05,1395,90,132030,3501,0.9737913820283762,0.7119094087531908,0.966953402843306,0.0006811989100817438,0.7150735294117647,0.5095838879131241,lstm,5,0.99,5,2.5220402676495723e-05,0.015903476499962894,36.564,True,,False,0.9971408148677627,0.0
4.84770534967538e-05,1395,26,132094,3501,0.9742584807613709,0.7142454447813675,0.9673453039196925,0.0001967907962458371,0.7150735294117647,0.5216976135686302,lstm,5,0.995,1,4.84770534967538e-05,0.04240927066656772,16.022,True,,False,0.9971408148677627,0.0
4.84770534967538e-05,1395,26,132094,3501,0.9742584807613709,0.7142454447813675,0.9673453039196925,0.0001967907962458371,0.7150735294117647,0.5216976135686302,lstm,5,0.995,2,4.84770534967538e-05,0.02120463533328386,21.162,True,,False,0.9971408148677627,0.0
4.84770534967538e-05,1395,26,132094,3501,0.9742584807613709,0.7142454447813675,0.9673453039196925,0.0001967907962458371,0.7150735294117647,0.5216976135686302,lstm,5,0.995,3,4.84770534967538e-05,0.015903476499962894,26.295,True,,False,0.9971408148677627,0.0
4.84770534967538e-05,1395,26,132094,3501,0.9742584807613709,0.7142454447813675,0.9673453039196925,0.0001967907962458371,0.7150735294117647,0.5216976135686302,lstm,5,0.995,5,4.84770534967538e-05,0.005301158833320965,36.564,True,,False,0.9971408148677627,0.0
8.784491365076974e-05,1395,22,132098,3501,0.9742876744321831,0.7143929362133423,0.9673699005917712,0.00016651528913109296,0.7150735294117647,0.5224812799479597,lstm,5,0.999,1,8.784491365076974e-05,0.037108111833246755,16.022,True,,False,0.9971408148677627,0.0
8.784491365076974e-05,1395,22,132098,3501,0.9742876744321831,0.7143929362133423,0.9673699005917712,0.00016651528913109296,0.7150735294117647,0.5224812799479597,lstm,5,0.999,2,8.784491365076974e-05,0.02120463533328386,21.162,True,,False,0.9971408148677627,0.0
8.784491365076974e-05,1395,22,132098,3501,0.9742876744321831,0.7143929362133423,0.9673699005917712,0.00016651528913109296,0.7150735294117647,0.5224812799479597,lstm,5,0.999,3,8.784491365076974e-05,0.01060231766664193,26.295,True,,False,0.9971408148677627,0.0
8.784491365076974e-05,1395,22,132098,3501,0.9742876744321831,0.7143929362133423,0.9673699005917712,0.00016651528913109296,0.7150735294117647,0.5224812799479597,lstm,5,0.999,5,8.784491365076974e-05,0.005301158833320965,36.564,True,,False,0.9971408148677627,0.0
